layer_name,k_scale,v_scale,k_absmax_seen,v_absmax_seen
model.layers.0.self_attn.attn,0.052165355533361435,1.0629920959472656,6.625,135.0
model.layers.1.self_attn.attn,0.06176181137561798,0.08021653443574905,7.84375,10.1875
model.layers.10.self_attn.attn,0.14763779938220978,0.03346456587314606,18.75,4.25
model.layers.11.self_attn.attn,0.14566929638385773,0.020177165046334267,18.5,2.5625
model.layers.12.self_attn.attn,0.13385826349258423,0.04650590568780899,17.0,5.90625
model.layers.13.self_attn.attn,0.07234252244234085,0.03740157559514046,9.1875,4.75
model.layers.14.self_attn.attn,0.047490157186985016,0.03444881737232208,6.03125,4.375
model.layers.15.self_attn.attn,0.08070866018533707,0.05511811003088951,10.25,7.0
model.layers.16.self_attn.attn,0.15452755987644196,0.059547245502471924,19.625,7.5625
model.layers.17.self_attn.attn,0.0861220508813858,0.018208662047982216,10.9375,2.3125
model.layers.18.self_attn.attn,0.10039369761943817,0.04379921406507492,12.75,5.5625
model.layers.19.self_attn.attn,0.08120078593492508,0.0509350411593914,10.3125,6.46875
model.layers.2.self_attn.attn,0.24704724550247192,0.12303149700164795,31.375,15.625
model.layers.20.self_attn.attn,0.05167322978377342,0.07332677394151688,6.5625,9.3125
model.layers.21.self_attn.attn,0.07480315119028091,0.08661417663097382,9.5,11.0
model.layers.22.self_attn.attn,0.11269684880971909,0.15059055387973785,14.3125,19.125
model.layers.23.self_attn.attn,0.06840550899505615,0.06126968562602997,8.6875,7.78125
model.layers.24.self_attn.attn,0.05511811003088951,0.07529527693986893,7.0,9.5625
model.layers.25.self_attn.attn,0.05733267590403557,0.04035433009266853,7.28125,5.125
model.layers.3.self_attn.attn,0.047490157186985016,0.09596456587314606,6.03125,12.1875
model.layers.4.self_attn.attn,0.04724409431219101,0.11269684880971909,6.0,14.3125
model.layers.5.self_attn.attn,0.07972440868616104,0.02891240082681179,10.125,3.671875
model.layers.6.self_attn.attn,0.0546259842813015,0.12598425149917603,6.9375,16.0
model.layers.7.self_attn.attn,0.045521654188632965,0.0703740194439888,5.78125,8.9375
model.layers.8.self_attn.attn,0.0703740194439888,0.05118110403418541,8.9375,6.5
model.layers.9.self_attn.attn,0.03838582709431648,0.060777559876441956,4.875,7.71875
