layer_idx,layer_name,k_scale,v_scale,k_absmax_seen,v_absmax_seen,pid,kind
0,language_model.model.layers.0.self_attn.attn,0.12696850299835205,5.228346347808838,16.125,664.0,50364,Attention
1,language_model.model.layers.1.self_attn.attn,0.29133859276771545,0.7086614370346069,37.0,90.0,50364,Attention
2,language_model.model.layers.2.self_attn.attn,0.25,0.2460629940032959,31.75,31.25,50364,Attention
3,language_model.model.layers.3.self_attn.attn,0.437007874250412,0.32677164673805237,55.5,41.5,50364,Attention
4,language_model.model.layers.4.self_attn.attn,0.24015748500823975,0.43110236525535583,30.5,54.75,50364,Attention
5,language_model.model.layers.5.self_attn.attn,0.24704724550247192,0.2460629940032959,31.375,31.25,50364,Attention
6,language_model.model.layers.6.self_attn.attn,0.2027558982372284,0.2106299251317978,25.75,26.75,50364,Attention
7,language_model.model.layers.7.self_attn.attn,0.15551181137561798,0.17519685626029968,19.75,22.25,50364,Attention
8,language_model.model.layers.8.self_attn.attn,0.13090550899505615,0.3779527544975281,16.625,48.0,50364,Attention
9,language_model.model.layers.9.self_attn.attn,0.15157480537891388,0.35039371252059937,19.25,44.5,50365,Attention
10,language_model.model.layers.10.self_attn.attn,0.20472441613674164,0.33464565873146057,26.0,42.5,50365,Attention
11,language_model.model.layers.11.self_attn.attn,0.1761811077594757,0.6299212574958801,22.375,80.0,50365,Attention
12,language_model.model.layers.12.self_attn.attn,0.14566929638385773,0.6614173054695129,18.5,84.0,50365,Attention
13,language_model.model.layers.13.self_attn.attn,0.1525590568780899,0.25,19.375,31.75,50365,Attention
14,language_model.model.layers.14.self_attn.attn,0.22440944612026215,0.33464565873146057,28.5,42.5,50365,Attention
15,language_model.model.layers.15.self_attn.attn,0.15157480537891388,0.09645669162273407,19.25,12.25,50365,Attention
16,language_model.model.layers.16.self_attn.attn,0.15059055387973785,0.10728346556425095,19.125,13.625,50365,Attention
17,language_model.model.layers.17.self_attn.attn,0.2342519611120224,0.19192913174629211,29.75,24.375,50365,Attention
18,language_model.model.layers.18.self_attn.attn,0.15354330837726593,0.5118110179901123,19.5,65.0,50365,Attention
19,language_model.model.layers.19.self_attn.attn,0.16338582336902618,0.46259841322898865,20.75,58.75,50365,Attention
20,language_model.model.layers.20.self_attn.attn,0.15354330837726593,0.3897637724876404,19.5,49.5,50365,Attention
21,language_model.model.layers.21.self_attn.attn,0.2037401646375656,0.4291338622570038,25.875,54.5,50365,Attention
22,language_model.model.layers.22.self_attn.attn,0.13385826349258423,0.8267716765403748,17.0,105.0,50365,Attention
23,language_model.model.layers.23.self_attn.attn,0.27952754497528076,0.24409449100494385,35.5,31.0,50365,Attention
24,language_model.model.layers.24.self_attn.attn,0.28740158677101135,2.929133892059326,36.5,372.0,50365,Attention
25,language_model.model.layers.25.self_attn.attn,0.19980314373970032,3.039370059967041,25.375,386.0,50365,Attention
26,language_model.model.layers.26.self_attn.attn,0.15354330837726593,1.637795329093933,19.5,208.0,50365,Attention
27,language_model.model.layers.27.self_attn.attn,0.23523622751235962,0.18503937125205994,29.875,23.5,50365,Attention
28,language_model.model.layers.28.self_attn.attn,0.16929133236408234,0.2145669311285019,21.5,27.25,50365,Attention
29,language_model.model.layers.29.self_attn.attn,0.5629921555519104,0.1013779491186142,71.5,12.875,50365,Attention
30,language_model.model.layers.30.self_attn.attn,0.15944881737232208,0.8700787425041199,20.25,110.5,50365,Attention
31,language_model.model.layers.31.self_attn.attn,0.15551181137561798,1.5511810779571533,19.75,197.0,50365,Attention
32,language_model.model.layers.32.self_attn.attn,0.11171259731054306,0.712598443031311,14.1875,90.5,50365,Attention
